Confidence,BusName (SSWG),Data Center Name,Online Date,BusID (SSWG),DAM Bus Name,kV,Crypto/Non-Crypto,Dispatchable,Max MW,Expected MW,DAM MW,NewLoad,Dispatchable_Derate,LoadID,NmmsStationCode,NmmsStationName,NmmsWeatherZone,busNum,busName,OldLoad,PrimaryLoadLabel,PrimaryLoadID
2.0,GRNBYU_POI8A,ECLTerraSiteTX1,2026-07-01,40710,,345.0,Non-Crypto,NO,1000.0,170.0,0.0,136.0,1.0,D1,GBY,GREENS BAYOU,WZ_COAST,40710.0,GRNBYU_POI8A,0.0,GBY_GBY_LSTB,1 
1.0,WILLOW__81B8 ,ServerfarmHoustonHOU1,2025-01-01,46660,WLO,138.0,Non-Crypto,NO,670.0,350.0,60.0,280.0,1.0,D1,WLO,WILLOW,WZ_COAST,46660.0,WILLOW__81B8,60.0,WLO_TR1,1 
1.0,WILLOW__81B8 ,ServerfarmHoustonHOU2,2025-01-01,46660,WLO,138.0,Non-Crypto,NO,670.0,60.0,40.0,48.0,1.0,D2,WLO,WILLOW,WZ_COAST,46660.0,WILLOW__81B8,40.0,WLO_TR2,2 
2.0,WILLOW__81B8 ,ServerfarmHoustonHOU2,2027-01-01,46660,WLO,138.0,Non-Crypto,NO,670.0,160.0,0.0,128.0,1.0,D3,WLO,WILLOW,WZ_COAST,46660.0,WILLOW__81B8,0.0,WLO_TR3,3 
1.0,LONGDRAW_138,SoftbankGail1,2027-12-01,59906,,138.0,Non-Crypto,NO,1284.0,270.0,0.0,216.0,1.0,D1,W_LD_138,Long Draw 138 kV,WZ_FAR_WEST,59906.0,LONGDRAW_138,0.0,,
1.0,HELIOSCR7A,GalaxyHelios,2027-07-01,60007,HELIOSCR,345.0,Crypto,YES,800.0,573.0,0.0,458.4,0.5,D1,HELIOSCR,Helios Crypto,WZ_NORTH,60007.0,HELIOSCR7A  ,0.0,HELIOSCR_MPT_1,1 
1.0,HODLRAN27A,GoogleSouthHaskell,2027-07-01,60017,HODLRANC,345.0,Non-Crypto,NO,440.0,220.0,0.0,176.0,1.0,D1,HODLRANC,HODL RANCH,WZ_NORTH,60017.0,HODLRAN27A,0.0,,
1.0,HODLRAN27A,GoogleSouthHaskell,2027-10-01,60017,HODLRANC,345.0,Non-Crypto,NO,440.0,220.0,0.0,176.0,1.0,D2,HODLRANC,HODL RANCH,WZ_NORTH,60017.0,HODLRAN27A,0.0,,
1.0,IRISDATA7A,IRENChildressTX,2026-12-01,60510,CHLDDATA,138.0,Crypto and AI,YES,750.0,150.0,600.0,120.0,0.5,D1,CHLDDATA,CHILDRESS DATA CENTER-IRIS,WZ_NORTH,60510.0,IRISDATA7A,600.0,CHLDDATA_LOAD1,1 
1.0,OECCS_CT1,CipherMiningOdessa,2023-01-01,130321,OECCS,138.0,Crypto,NO,0.0,0.0,0.0,0.0,1.0,D1,OECCS,ODESSA ECTOR CCS,WZ_FAR_WEST,130321.0,OECCS_CT11  ,0.0,OECCS_1EM-TF-A,1 
1.0,OECCS_1_5,CipherMiningOdessa,2023-01-01,130327,OECCS,345.0,Crypto,NO,207.0,0.0,200.0,0.0,1.0,D1,OECCS,ODESSA ECTOR CCS,WZ_FAR_WEST,130327.0,OECCS_1_5   ,200.0,OECCS_CMLD,1 
1.0,KING_SE_1_8,Hut8McCameyTX,2022-01-01,130631,KING_SE,138.0,Crypto,NO,280.0,70.0,70.0,56.0,1.0,D1,KING_SW,KING MOUNTAIN SW,WZ_FAR_WEST,130631.0,KING__KINGSW,70.0,KING_SW_LOAD_MDC,1 
1.0,KING_SW_1_8,Hut8McCameyTX,2022-01-01,130634,KING_SW,138.0,Crypto,NO,280.0,70.0,70.0,56.0,1.0,D1,KING_SW,KING MOUNTAIN SW,WZ_FAR_WEST,130634.0,KINGSW_CB1  ,70.0,,
1.0,KING_NE_1_8,Hut8McCameyTX,2022-01-01,130731,KING_NE,138.0,Crypto,NO,280.0,70.0,70.0,56.0,1.0,D1,KING_NW,KING MOUNTAIN NW,WZ_FAR_WEST,130731.0,KING__KINGNW,70.0,KING_NW_LOADNW,1 
1.0,KING_NW_1_8,Hut8McCameyTX,2022-01-01,130733,KING_NW,138.0,Crypto,NO,280.0,70.0,70.0,56.0,1.0,D1,KING_NW,KING MOUNTAIN NW,WZ_FAR_WEST,130733.0,KINGNW_CB1  ,70.0,,
1.0,RSNAKE_G1,MarathonDigitalGardenCityTX,2023-01-01,132211,RSNAKE,345.0,Crypto,NO,200.0,0.0,100.0,0.0,1.0,D1,RSNAKE,RATTLESNAKE,WZ_FAR_WEST,132211.0,RSNAKE_G1   ,100.0,RSNAKE_DC2,1 
1.0,RSNAKE_G2,MarathonDigitalGardenCityTX,2023-01-01,132212,RSNAKE,345.0,Crypto,NO,200.0,0.0,100.0,0.0,1.0,D1,RSNAKE,RATTLESNAKE,WZ_FAR_WEST,132212.0,RSNAKE_G2,100.0,RSNAKE_LOAD1,1 
1.0,CBREAKS_W1,Hut8VegaPanhandleTX,2025-07-01,142661,CN_BRKS,345.0,Crypto,YES,205.0,0.0,205.0,0.0,0.5,D1,CN_BRKS,CANADIAN BREAKS,WZ_NORTH,142661.0,CBREAKS_W1  ,205.0,CN_BRKS_CB_LD,1 
1.0,GOODNITE_5,GoogleCrusoeGoodnight1,2028-01-01,144365,GOODNIT1,345.0,Non-Crypto,NO,750.0,720.0,0.0,576.0,1.0,D1,GOODNIT1,GOODNIGHT WIND,WZ_NORTH,144365.0,GOODNITE_5,0.0,,
1.0,AURO_SLR_5,SoftbankRosebud1,2027-12-01,171023,,345.0,Non-Crypto,NO,1250.0,375.0,0.0,300.0,1.0,D1,AURO_SLR,AUREOLA SOLAR,WZ_SOUTH_CENTRAL,171023.0,AURO_SLR_5,0.0,,
