code,elem,cont,hot_days_seen,total_hours,worst_shadow,days
NLARSW_PILONC1_1,NLARSW:138KV-PILONCIL:138KV,DFOAVLO5,8,46,340.8523254394531,"Fri 07-03, Mon 07-06, Sat 07-04, Sun 07-05, Sun 07-12, Tue 07-07, Wed 07-01, Wed 07-08"
STPWAP39_1,STP:345KV-WAP:345KV,DWPWFWP5,8,68,112.03427124023438,"Fri 07-03, Mon 07-06, Sat 07-04, Sun 07-05, Sun 07-12, Tue 07-07, Wed 07-01, Wed 07-08"
INTF,INTF,BASE,8,119,40.05656433105469,"Fri 07-03, Mon 07-06, Sat 07-04, Sun 07-05, Sun 07-12, Tue 07-07, Wed 07-01, Wed 07-08"
MOURSUND_FUR_1,FURHMAN:138KV-MOURSUND:138KV,SFURVAN8,8,56,2.246248483657837,"Fri 07-03, Mon 07-06, Sat 07-04, Sun 07-05, Sun 07-12, Tue 07-07, Wed 07-01, Wed 07-08"
BI_JN_64_A,JN:345KV-BI:345KV,DWAP_BI5,7,54,78.61748504638672,"Fri 07-03, Mon 07-06, Sat 07-04, Sun 07-05, Tue 07-07, Wed 07-01, Wed 07-08"
D5_S1_1,HOWARD:138KV-LEON_CRK:138KV,SP5CAG8,7,28,33.38003158569336,"Fri 07-03, Mon 07-06, Sat 07-04, Sun 07-12, Tue 07-07, Wed 07-01, Wed 07-08"
138_FTS_LNC_1,FTST:138KV-LEONCRK:138KV,BASE,7,30,13.358213424682617,"Fri 07-03, Mon 07-06, Sat 07-04, Sun 07-05, Sun 07-12, Tue 07-07, Wed 07-08"
2270__B,MEXTP:69KV-ITALY:69KV,SBLAWDB8,6,32,624.3047485351562,"Fri 07-03, Mon 07-06, Sat 07-04, Sun 07-05, Tue 07-07, Wed 07-08"
NEWM_WAL_1,NEWMAN:138KV-WALNUT1:138KV,SOAKSHI8,6,15,484.29718017578125,"Mon 07-06, Sat 07-04, Sun 07-05, Sun 07-12, Tue 07-07, Wed 07-08"
35055__A,SAMSW:345KV-VENSW:345KV,SVENFTS5,6,31,206.7041473388672,"Fri 07-03, Sat 07-04, Sun 07-05, Sun 07-12, Wed 07-01, Wed 07-08"
BRUNI_69_1,BRUNI:138KV-BRUNI:69KV,SLAQLOB8,6,17,168.27349853515625,"Fri 07-03, Mon 07-06, Sat 07-04, Sun 07-12, Tue 07-07, Wed 07-08"
MAGRUD_VICTOR2_1,VICTORIA:138KV-MAGRUDER:138KV,DELMSAN5,6,36,133.85659790039062,"Sat 07-04, Sun 07-05, Sun 07-12, Tue 07-07, Wed 07-01, Wed 07-08"
NUECES_WHITE_2_1,NUECES_B:138KV-WHITE_PT:138KV,SMAYWHI8,6,28,78.65164947509766,"Fri 07-03, Mon 07-06, Sat 07-04, Sun 07-05, Tue 07-07, Wed 07-08"
1545__A,FLTSW:138KV-PRSSW:138KV,SPRSPAR8,6,34,36.19059371948242,"Fri 07-03, Mon 07-06, Sat 07-04, Sun 07-05, Sun 07-12, Tue 07-07"
G138_15_1,ANGLETON:138KV-WCOLLOCL:138KV,SWCOWCO8,6,15,3.902169942855835,"Fri 07-03, Sat 07-04, Sun 07-05, Sun 07-12, Tue 07-07, Wed 07-01"
SEA_AAT1,SEA:138KV-SEA:69KV,DFRYTM58,5,37,1146.972900390625,"Fri 07-03, Mon 07-06, Sat 07-04, Sun 07-05, Wed 07-01"
LPLMK_LPLNE_1,LPLMK:115KV-LPLNE:115KV,SBWDDBM5,5,30,492.7139587402344,"Fri 07-03, Sat 07-04, Tue 07-07, Wed 07-01, Wed 07-08"
WESLCO_HIDLBRG_1,MV_HBRG4:138KV-MV_WESL4:138KV,MHARNED5,5,24,292.31341552734375,"Fri 07-03, Sat 07-04, Sun 07-05, Sun 07-12, Wed 07-01"
MDOPHR99_A,MDO:345KV-PHR:345KV,DWAP_OB5,5,41,69.89796447753906,"Fri 07-03, Sat 07-04, Sun 07-05, Sun 07-12, Wed 07-01"
HEXT_YELWJC1_1,YELWJCKT:69KV-HEXT:69KV,DYETRJU8,5,24,63.579200744628906,"Fri 07-03, Sat 07-04, Sun 07-05, Sun 07-12, Wed 07-08"
WAPWLY72_A,WLY:345KV-WAP:345KV,DBLW2JC5,5,35,17.5386905670166,"Fri 07-03, Sat 07-04, Sun 07-12, Wed 07-01, Wed 07-08"
MAGRUD_VICTOR2_1,VICTORIA:138KV-MAGRUDER:138KV,XVIC89,4,23,650.5423583984375,"Mon 07-06, Sun 07-05, Sun 07-12, Tue 07-07"
1715__B,TMPSW:138KV-FRYSW:138KV,DSALHUT5,4,30,539.1600341796875,"Fri 07-03, Mon 07-06, Wed 07-01, Wed 07-08"
HON_DEVI_1,HONDOCK:69KV-DEVINESW:69KV,SHONF38,4,17,534.4903564453125,"Mon 07-06, Sun 07-05, Tue 07-07, Wed 07-08"
6437__F,SCRCV:138KV-KNAPP:138KV,DMTSCOS5,4,25,523.5352172851562,"Fri 07-03, Sun 07-05, Wed 07-01, Wed 07-08"
PALOUS_WOLFCA1_1,PALOUSE:138KV-WOLFCAMP:138KV,DBIGSCH5,4,27,452.4442443847656,"Fri 07-03, Mon 07-06, Sun 07-12, Wed 07-08"
