ckey,date,priceTypeID,bind_hours,max_sp,sp_sum
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-12,1,6,37.86000061035156,43.41200052201748
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-13,1,5,10.717000007629395,30.93999993801117
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-14,1,10,33.93899917602539,219.46299839019775
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-15,1,7,20.53700065612793,69.62900114059448
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-16,1,10,64.35399627685547,268.7839969098568
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-17,1,8,182.9459991455078,705.9119892120361
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-18,1,8,104.39399719238281,344.37799048423767
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-19,1,8,50.83599853515625,213.76900005340576
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-20,1,9,51.321998596191406,233.1719971895218
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-21,1,9,45.02000045776367,264.04000186920166
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-22,1,10,33.814998626708984,160.9119997024536
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-23,1,9,83.91100311279297,379.6010103225708
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-24,1,12,380.75,1301.275999546051
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-25,1,10,259.2770080566406,1460.7310180664062
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-26,1,9,197.26499938964844,905.1709942817688
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-27,1,10,39.250999450683594,182.446998372674
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-28,1,11,247.80599975585938,879.8000040054321
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-29,1,12,493.8380126953125,2146.6850261688232
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-07-30,1,10,959.739990234375,4549.735970497131
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-08-01,1,3,66.11599731445312,84.64199781417847
ABNTHWST:138KV-ABNTHWST:138.1KV|MXMUL58,2025-08-02,1,9,100.9469985961914,458.00499165058136
