From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,MW From ,Lim MVA,% of MVA Limit (Max),Labels All,,
139,LAKEBELTON,3610,BELTON1_8,1,Closed,Line,NO,90.1,230,39.2,BLTON_LKBLT1,3fa4861a-d748-45d8-bf34-1bd9dbf93357,4819
139,LAKEBELTON,3624,LBELTON_P_8,1,Closed,Line,NO,25.7,478,5.4,208671,2bdeca4d-3ef0-44f6-8e8d-c29766dad5b0,
139,LAKEBELTON,3624,LBELTON_P_8,A1,Open,Line,NO,0,9999,0,206927,5ad35c2e-e4a1-416a-a1fa-90c8bd652ef8,
140,CHAPELHILL,3455,CORS1_8,1,Closed,Line,NO,-8.8,206,4.3,1430_A,371e1712-7dac-4138-ad06-374221db14fc,4403
140,CHAPELHILL,3456,CORSWEST1_8,1,Closed,Line,NO,6.7,206,3.3,1430_L,2583,bbd8b04d-6de4-46c0-9013-db1c3aa1b940
142,TUGTSVILSW,145,LEONJUNCTN,1,Closed,Line,NO,42.8,115,37.2,TUG_LEON1,038823c7-bc71-47fa-bc0d-39ce05e11170,4305
142,TUGTSVILSW,149,SANTAFESW,1,Closed,Line,NO,-44.9,115,39.1,TUG_SANT1,21244b11-65f6-4f87-a2ae-3a20ca089125,4306
142,TUGTSVILSW,3583,GATESVIL_T9,1,Closed,Line,NO,2.1,9999,0,194579,df9d88d6-4259-498b-a8ff-02f55ecc2560,
146,SPRINGVALY,3593,SPGVALLYP_8,1,Closed,Line,NO,-7.5,121,6.2,SPV_SPVTP1,3611,f2ee4497-bbc3-475a-b922-d38d923d6b89
149,SANTAFESW,153,SANTAFE,1,Closed,Line,NO,5.6,14,40.1,SAN_SANT1,3979,428c1ba7-eab0-466d-ba0d-5ca5a8d2f212
149,SANTAFESW,250,FRTGATESSW,1,Closed,Line,NO,-50.5,115,43.9,SAN_FRTG1,3978,6c46b887-d48d-45ac-b682-26390af4fd9a
152,GREENBRIAR,153,SANTAFE,1,Closed,Line,NO,-5.1,44,11.7,SAN_GREENB1,405191,a2cb386b-2ec0-4300-8bbe-f93bc6c6102b
157,GATESVILLE,158,PANCAKE,1,Closed,Line,NO,-65.1,115,56.6,PAN-GATT1,0771ca62-693e-4606-8237-22edac30241e,4765
157,GATESVILLE,250,FRTGATESSW,1,Closed,Line,NO,56.5,115,49.1,GAT_FRTG1,02940eb9-2e1a-49bc-b4ca-626df7a9a0b7,62
158,PANCAKE,258,HAMILTON,1,Closed,Line,NO,-46.7,115,40.6,PAN-HAM1,32bed65f-0aad-4ef1-9fbe-b1f059cca90a,4227
158,PANCAKE,37580,TNPANCAKE_0,1,Closed,Line,NO,-18.4,72,25.6,PAN_PAN1,0cc7d61f-a41e-4686-b45b-a29f1be7db8a,5034
161,MCGREGOR,165,WINDSORSW,1,Closed,Line,NO,-146.6,230,63.7,MCG_WIND1,116,af976205-396e-48d7-8eca-3e85e97e9c81
165,WINDSORSW,169,WINDSOR,1,Closed,Line,NO,5.9,121,4.9,WIN_WIND1,4394,8997b64b-fdd5-4aa6-823e-9f672fb88569
165,WINDSORSW,173,CRAWFORD,1,Closed,Line,NO,-152.5,230,66.3,WIN_CRAW1,4391,aedcd785-8071-4b03-b88f-0fcec242fce8
170,COTTONBELT,3593,SPGVALLYP_8,1,Closed,Line,NO,34.3,206,16.7,1830_E,5162,74152224-7c8f-4511-815f-6c03885dd75f
170,COTTONBELT,3796,WATCOATCO2_8,1,Closed,Line,NO,-43.6,206,21.2,1830_F,4075,5053826b-5e42-4438-bcbd-5cd569e2d378
173,CRAWFORD,177,BOSQUE,1,Closed,Line,NO,-161.7,230,70.3,CRA_BOSQ1,27,fa516ac6-ebae-4998-b2bb-4000be995d4b
175,CHINASPRGS,3595,CHINASPG1_8,1,Closed,Line,NO,-6.3,128,4.9,CHSPG_CHI1,43e2bb31-9460-4f11-8947-c194f493cf45,4936
177,BOSQUE,181,CAYOTE,1,Closed,Line,NO,-79.9,384,20.8,BOS_CAYO1,2c095870-7e78-4db0-babe-cfe794ece12a,
177,BOSQUE,3595,CHINASPG1_8,1,Closed,Line,NO,27.3,121,22.5,CHI_BOSQ1,3900,97700c43-8d79-4663-94c8-56522614da41
177,BOSQUE,152233,MRKM_SLR_8,1,Closed,Line,NO,-115,233.5,49.2,MRKM_TLINE,102ffb79-50f9-41fe-be3c-afeda3a0cf10,703632
178,POTSVIL,258,HAMILTON,1,Closed,Line,NO,53.8,115,46.7,POTSVIL_HAMLTN1,572093,b9060907-070b-4e48-a2ed-ae5e10ab4586
178,POTSVIL,273,GUSTINE,1,Closed,Line,NO,26,115,22.6,GUSTIN_POTSVIL1,572092,725ab9e6-6290-4f99-ac6d-6030febb9ef6
178,POTSVIL,151973,GRIZZLY_9,1,Closed,Line,NO,-72.3,110,65.7,GRIZZLY_TLINE1,578324,a48aff4b-8dbb-4d1e-834a-f323523f6c2a
181,CAYOTE,241,WHITNEY8,1,Closed,Line,NO,-82.3,384,21.4,1900051,286,474338e0-7992-4939-a6e1-0b48a0526535
186,NAVAROMILS,190,DAWSON,1,Closed,Line,NO,-2.2,115,1.9,NAV_DAWS1,4096,8cfbb67a-7f1c-4223-9d1a-7a16eeaa1cba
186,NAVAROMILS,3511,NAV_MILS1_9,1,Closed,Line,NO,0.6,40,1.5,1000191,4609,68ca49dc-e314-4df8-b246-d5771cca569d
190,DAWSON,194,PURDON,1,Closed,Line,NO,-4.6,115,4,DAW_PURD1,0a87de87-3432-4370-aaaa-3c5b9fda4924,896
192,TELICO,2331,ENNS_PMP_T8,1,Closed,Line,NO,50.9,240,21.2,920_D,2590,bc5fb0b5-73c0-4118-9475-fd38835e7a6c
192,TELICO,3454,MONTFTSS__8,1,Closed,Line,NO,-54.7,239.5,22.8,920_E,2954,e3404e12-5992-4738-b0bb-765e28734dd5
193,BARRY,194,PURDON,1,Closed,Line,NO,36.9,192,19.2,PUR_BARRYBC1,5085,dcdade28-d065-45d8-a91d-f97a2003ead8
193,BARRY,210,REAGORSPRG,1,Closed,Line,NO,-39.9,192,20.8,RSP_BARR1,0ec341cc-cc21-4b4f-a8eb-e4a638990211,3968
194,PURDON,199,BRUSHIE,1,Closed,Line,NO,27.4,34,80.7,BRUSH_PUR,23c3ba7d-7af1-434d-8506-dbdccfd62680,680750
195,FREESTONE,3492,FRESTONE1_9,1,Closed,Line,NO,-4.2,14,30.3,FRE_FSRE1,70b4ed17-7a41-4c95-ac3c-359ff9a8ddab,908
196,FAIRFIELD,3508,FAIRFWST_8,1,Closed,Line,NO,161.7,607.4,26.6,1240_E,4382,8275545a-b00c-405c-adf5-cb831811ce92
196,FAIRFIELD,3510,PINOAK_8,1,Closed,Line,NO,-166.2,607.4,27.4,1240_J,2e2ddf21-90ac-49b2-86fb-4dcd7f11f5d6,559818
198,EMMETT,199,BRUSHIE,1,Closed,Line,NO,-8.5,34,25,EMME_BRUSH,680746,7d0947a4-9213-4cfd-84af-0d9a906ff19b
200,CHATFIELD,3454,MONTFTSS__8,1,Closed,Line,NO,-14.5,240,6,1430_B,4579,581e08c9-fed1-4c5c-9890-a4c6450480a2
