teid,RdfId,PsseType,NodeType,CircuitIdentifier,Name,BusNumber1,BusName1,Substation1,BusNumber2,BusName2,Substation2,EquipmentName,OpEqName,branch_id,branch_name,b1,b2,ckt,DeviceType,FromName,ToName,OP_EQCODE,EQNAME,match_status,opeq_status
3430,edcc7774-fd3e-42b6-98e5-b759f9ff4144,Branch,ACLineSegment,1,LOOK_APO_1 1 1 138kV,802,APOLLO,APOLLO,828,LOOKOUT,LOOKOUT,1,LOOK_APO_1,60007939.0,LOOK_APO1,,,1,Line,APOLLO,LOOKOUT,LOOK_APO_1,1,duplicate_match,different
3440,eee77035-fadf-4bbd-b05f-07549bef4409,Branch,ACLineSegment,1,927T159_1 1 1 138kV,7350,L_MORMMI8_1Y,MORMMI,7348,L_MARBFA8_1Y,MARBFA,1,927T159_1,60008704.0,927T1591,,,1,Line,L_MARBFA8_1Y,L_MORMMI8_1Y,927T159_1,1,duplicate_match,different
3440,eee77035-fadf-4bbd-b05f-07549bef4409,Branch,ACLineSegment,1,927T159_1 1 1 138kV,7350,L_MORMMI8_1Y,MORMMI,7348,L_MARBFA8_1Y,MARBFA,1,927T159_1,60000759.0,2000T159,,,1,Line,L_MARBFA8_1Y,L_MORMMI8_1Y,2000T159_1,1,duplicate_match,different
3446,8bf152dc-6807-4cc5-b84a-58e1403c835f,Branch,ACLineSegment,1,995__A _A 1 138kV,3143,TYLERGND_8,TYGND,3218,TYLERS_8,TYSTH,_A,995__A,60110567.0,995,,,1,Line,TYLERGND_8,TYLERS_8,995__A,_A,duplicate_match,same_element
3446,8bf152dc-6807-4cc5-b84a-58e1403c835f,Branch,ACLineSegment,1,995__A _A 1 138kV,3143,TYLERGND_8,TYGND,3218,TYLERS_8,TYSTH,_A,995__A,60002802.0,995_A,,,1,Line,TYLERS_8,TYLERGND_8,995__A,_A,duplicate_match,same_element
3471,ae7941f4-bc5a-480e-85c1-4e492e0a39c2,Branch,ACLineSegment,26,AM_HOC26_A A 26 138kV,47170,H_O_C__POI_8,HOC,48061,ALMEDA26TP_8,AM,A,AM_HOC26_A,60110582.0,AM_HOC26,,,26,Line,H_O_C__POI_8,ALMEDA26TP_8,AM_HOC26_A,A,duplicate_match,same_element
3471,ae7941f4-bc5a-480e-85c1-4e492e0a39c2,Branch,ACLineSegment,26,AM_HOC26_A A 26 138kV,47170,H_O_C__POI_8,HOC,48061,ALMEDA26TP_8,AM,A,AM_HOC26_A,60003019.0,AM_HOC26A,,,26,Line,H_O_C__POI_8,ALMEDA26TP_8,AM_HOC26_A,A,duplicate_match,same_element
3497,cf661d5d-11d7-446a-b837-5a31134cff44,Branch,ACLineSegment,1,128T157_1 1 1 69kV,7220,L_LULIMA9_1Y,LULIMA,7223,L_LULING9_1Y,LULING,1,128T701_1,60000256.0,128T157,,,1,Line,L_LULIMA9_1Y,L_LULING9_1Y,128T157_1,1,duplicate_match,different
3497,cf661d5d-11d7-446a-b837-5a31134cff44,Branch,ACLineSegment,1,128T157_1 1 1 69kV,7220,L_LULIMA9_1Y,LULIMA,7223,L_LULING9_1Y,LULING,1,128T701_1,60012175.0,128T7011,,,1,Line,L_LULIMA9_1Y,L_LULING9_1Y,128T701_1,1,duplicate_match,different
3540,8e85a883-fbd3-4d69-92a2-4a24cc00628b,Branch,ACLineSegment,1,MILITA_OLMITO1_1 1 1 138kV,8339,MILITARY4A,MILITARY,8950,OLMITO4A,OLMITO,1,MILITA_OLMITO1_1,60110577.0,MILITA_OLMITO1,,,1,Line,MILITARY4D,OLMITO4A,MILITA_OLMITO1_1,1,duplicate_match,same_element
