teid,n_hours,n_inservice,dampsse_ids,pct_inservice,dampsse_default_status,branch_id,implied_default_status,pct_closed,from_bus,to_bus,DeviceType,ercotDampsseId,dampsse_name_raw,dampsse_from_station,dampsse_to_station
328422,17520,17520,1,1.0,Closed,60008883.0,Closed,1.0,SWNDL_SU,SWINDELL,Line,10538,SWINDELL_SWNDL_1,SWINDELL,SWNDL_SU
328574,17520,17511,1,0.9995,Closed,60112806.0,Closed,1.0,FLUVANNA_8,FLUVANNA_W2,Transformer,2873,FLUVANNA_T2,FLUVANNA,FLUVANNA
328682,17520,17439,1,0.9954,Closed,60112805.0,Closed,1.0,FLUVANNA_W1,FLUVANNA_8,Transformer,2909,FLUVANNA_T1,FLUVANNA,FLUVANNA
328942,17520,17291,1,0.9869,Closed,60009206.0,Closed,1.0,TELVEW02TP_8,QUAIL_02T1_8,Line,7562,QV_TAP02_1,QV,QV
329033,17520,17501,1,0.9989,Closed,60009865.0,Closed,1.0,MARINE_X48B8,VLASCO__B138,Line,5873,MREVL_48_A,MRE,VL
329169,17520,17223,1,0.983,Closed,60009009.0,Closed,1.0,MELV2A,BRADYTP2A,Line,5627,MELVIN_NORTHB1_1,MELVIN,NORTHBRA
329180,17520,16086,1,0.9182,Closed,60008928.0,Closed,0.85,TARZANSW_8,MCKENZIEDR_8,Line,291,6450__A,TZPOI,MKDSW
329188,17520,16119,1,0.92,Closed,60008930.0,Closed,0.85,TEXMABEE_8,MCKENZIEDR_8,Line,1714,6460__L,MABTX,MKDSW
329259,17520,17520,1,1.0,Closed,60008990.0,Closed,1.0,THOUSE_T__8,MCLECOU_E_8,Line,1443,1020__E,MCTYE,THSTP
329276,17520,17516,1,0.9998,Closed,60009671.0,Closed,1.0,ALKALILK2_8,MCKENZIEDR_8,Line,9779,6094__A,MKDSW,ALKLK
329284,17520,17520,1,1.0,Closed,60008927.0,Closed,1.0,ALKALILK_8,MCKENZIEDR_8,Line,9810,6095__J,MKDSW,ALKLK
329467,17520,16898,1,0.9645,Closed,60009158.0,Closed,1.0,PLEASANT2A,PLEASANT2B,Line,7403,PLEASA_PLEASN1_1,PLEASN69,PLEASANT
329490,17520,17259,1,0.9851,Closed,60008986.0,Closed,1.0,TRINIDADSU_9,ATHENS_9,Line,4806,1920__B,TRNDD,ATHNS
329532,17520,17459,1,0.9965,Closed,60004778.0,Closed,1.0,FREEPT_S59_8,SURFSI_X59B8,Line,11132,FP_SRF59_A,FP,SRF
329572,10800,10800,1,1.0,Closed,60096904.0,Closed,1.0,MORGAN,POWELLDM_8,Line,12560,1792__C,MORGAN,PMPOI
329579,10800,10800,1,1.0,Closed,60096905.0,Closed,1.0,MORGAN,POWELLDM_8,Line,12561,1792__D,MORGAN,PMPOI
329960,17520,17316,1,0.9884,Closed,60008969.0,Closed,1.0,SHRYAUTO1_5,CENTURY1_5,Line,6713,320__C,SHRSW,CNTRY
330181,17520,17520,1,1.0,Closed,60009135.0,Closed,1.0,L_GILLET8_1Y,L_NOPAL_8_1Y,Line,162,636T636_1,GILLET,NOPAL
330254,17520,17520,1,1.0,Closed,60009210.0,Closed,1.0,TNWORSHAM_1,TNQUITODC_1,Line,3196,138_WOR_QDC_1,WORSHAM,QUITODRC
330297,17520,16582,1,0.9465,Closed,60009141.0,Closed,0.9,L_LINCOL8_1Y,L_GIDDIN8_1Y,Line,230,638T638_1,LINCOL,GIDDIN
330316,17520,17520,1,1.0,Closed,60008983.0,Closed,1.0,LUFKNSS_8,LUFKIN_8,Line,1514,1180__D,LUFKN,LFKSW
330524,17520,17261,1,0.9852,Closed,60009207.0,Closed,0.9,BEARKAT_5,BEARKAT,Line,5765,NBOHR-BEARKAT_1,NBOHR,W_BK_345
330698,17520,16970,1,0.9686,Closed,60009253.0,Closed,1.0,CORTEZ_X48B8,JONCRK84TP_8,Line,10274,CTZJCK48_A,CTZ,JCK
330706,17520,17440,1,0.9954,Closed,60009100.0,Closed,1.0,TENNYSON4A,NICOLE4A,Line,7282,NICOLE_TENNYS1_1,NICOLE,TENNYSON
330707,17520,17488,1,0.9982,Closed,60009106.0,Closed,1.0,TENNYSON4A,ORNT4A,Line,7295,ORNT_TENNYS1_1,ORNT,TENNYSON
330714,17520,17250,1,0.9846,Closed,60009254.0,Closed,1.0,MARINE_X48B8,CORTEZ_X48B8,Line,10347,CTZMRE48_A,CTZ,MRE
330803,17520,17520,1,1.0,Closed,60008940.0,Closed,1.0,SANADTAP_8,SANANDRS_8,Line,9891,6093__E,ANDRT,SNAND
330878,17520,17520,1,1.0,Closed,60008879.0,Closed,1.0,BRIDGES,FRISCOW1_8,Line,3558,842__H,BRG,FRSCW
330993,17520,17513,1,0.9996,Closed,60009018.0,Closed,1.0,SMOKYHIL7A,SALVTION_5,Line,9139,SALVTION_TLINE_1,SMOKYHIL,SALVTION
