teid,branch_id,ercotDampsseId,from_bus,to_bus,ckt,default_status,default_status_source,in_service_date,retirement_date,DeviceType,match_status,in_service_date_source,retirement_date_source,dates_review_flag,status_review_flag,dampsse_default_status,dampsse_pct_inservice,implied_default_status,pct_closed
280269,60111595.0,9318.0,49139_STAR,GENTHW3X03_8,G1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_opeqcode,default,default,ok,clear_majority,Closed,0.9567,Closed,1.0
192731,60111373.0,7885.0,BRYN_TAMU_B,BRYN_TAMU_T4,4,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9918,Closed,1.0
279510,60006942.0,,RIOHONDO7A,RH1DUM,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9609,Closed,1.0
411476,60112185.0,4348.0,HILO_5,HILO_1KV2,2,Closed,dampsse_inservice,2019-11-12 17:15:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,0.99,Closed,1.0
20442,60111849.0,2777.0,DDPEC_GT6,DDPEC_6_6,G1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,matched,default,default,ok,clear_majority,Closed,0.9557,Closed,1.0
518195,60112630.0,5933.0,MADERO_G1,MADERO_8,T1,Closed,dampsse_inservice,2022-05-13 12:55:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,0.9967,Closed,1.0
534363,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
646479,60112549.0,11262.0,FRONT_EC_C2T,FRONTERA_C2,2,Closed,dampsse_inservice,2023-04-26 23:59:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,energization_planned_not_actualized,clear_majority,Closed,0.9621,Closed,1.0
279790,60111799.0,2835.0,EXN_EXN_G14,EXN_2_8,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_opeqcode,default,default,ok,clear_majority,Closed,0.972,Closed,1.0
124521,,,,,,,,1990-01-01,2099-12-31,,unmatched,default,default,,,,,,
609504,60012808.0,11246.0,CLINTN__B138,CLINTN_A1STR,A1,Closed,dampsse_inservice,2023-12-16 11:18:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,0.9965,Closed,1.0
576274,60112711.0,7687.0,RVRVLYS_G1,RVRVLYS_8,T1,Closed,dampsse_inservice,2023-03-23 14:35:00,2099-12-31 00:00:00,Transformer,matched,energization_outage,default,ok,clear_majority,Closed,0.9993,Closed,1.0
833434,60114285.0,14398.0,24172,WILMER1_8,1,Closed,dampsse_inservice,1990-01-01 00:00:00,2099-12-31 00:00:00,Transformer,duplicate_resolved_by_opeqcode,default,default,evidence_dropped_wrong_device,no_pto_data,Closed,1.0,,
