teid,EquipmentName,equip_name_norm,cim_opeqname_norm,cim_branchname_norm,plannedStartDate,actualStartDate,actualEndDate
486974,T2P,T2P,LPLPYT2P,LPLPYT2P,2021-05-06 19:47:00,2021-05-06 19:47:00,2021-05-21 09:32:00
486975,T2S,T2S,LPLPYT2S,LPLPYT2S,2021-05-06 19:47:00,2021-05-06 19:47:00,2021-05-21 09:32:00
486972,T1S,T1S,LPLPYT1S,LPLPYT1S,2021-05-06 19:47:00,2021-05-06 19:47:00,2021-05-21 09:32:00
486971,T1P,T1P,LPLPYT1P,LPLPYT1P,2021-05-06 19:47:00,2021-05-06 19:47:00,2021-05-21 09:32:00
498193,ED_ENC911,EDENC911,EDENC91A,EDENC91A,2021-04-21 00:00:00,2021-04-21 00:00:00,2021-05-12 11:16:00
496174,1103T2621,1103T2621,103T2621,103T2621,2021-04-07 00:00:00,2021-04-07 00:00:00,2021-05-12 10:03:00
492645,AT3H,AT3H,JORAT3H,JORAT3HH,2021-03-03 00:00:00,2021-03-03 00:00:00,2021-05-11 14:00:00
492644,AT3,AT3,JORAT3,JORAT3H,2021-03-03 00:00:00,2021-03-03 00:00:00,2021-05-11 14:00:00
445748,6132_B,6132B,6129B,6129B,2020-08-05 00:00:00,2020-08-05 00:00:00,2021-05-05 17:05:00
491600,T1,T1,WHMESAT1,WHMESAT1,2021-04-01 00:00:00,2021-04-01 00:00:00,2021-05-02 13:40:00
510439,T1-H,T1H,AZURET1H,AZURET1H,2021-05-05 00:00:00,2021-05-05 00:00:00,
486971,T1P,T1P,LPLPYT1P,LPLPYT1P,2021-02-03 00:00:00,2021-02-03 00:00:00,2021-05-03 19:30:00
486975,T2S,T2S,LPLPYT2S,LPLPYT2S,2021-02-03 00:00:00,2021-02-03 00:00:00,2021-05-03 19:30:00
486974,T2P,T2P,LPLPYT2P,LPLPYT2P,2021-02-03 00:00:00,2021-02-03 00:00:00,2021-05-03 19:30:00
486972,T1S,T1S,LPLPYT1S,LPLPYT1S,2021-02-03 00:00:00,2021-02-03 00:00:00,2021-05-03 19:30:00
451164,T1,T1,MARYNEALT1,MARYNEALT1,2021-02-01 14:16:00,2021-02-01 14:16:00,2021-04-24 07:57:00
432598,1421T4411,1421T4411,421T4411,421T4411,2020-11-02 08:36:00,2020-11-02 08:36:00,2021-04-21 10:30:00
432599,432T4411,432T4411,723T7641,723T764,2020-11-02 08:36:00,2020-11-02 08:36:00,2021-04-21 10:30:00
486066,T1,T1,EBLACKT1,EBLACKT1,2021-01-06 00:00:00,2021-01-06 00:00:00,2021-04-16 08:00:00
490672,T1,T1,NFBRPT1,NFBRPT1,2021-02-03 00:00:00,2021-02-03 00:00:00,2021-04-16 14:47:00
495994,T2,T2,PRSPERO2T2,PRSPERO2T2,2021-03-03 00:00:00,2021-03-03 00:00:00,2021-03-31 12:00:00
495993,T1,T1,PRSPERO2T1,PRSPERO2T1,2021-03-03 00:00:00,2021-03-03 00:00:00,2021-03-31 12:00:00
495288,T1,T1,GAMBITT1,GAMBITT1,2021-03-03 00:00:00,2021-03-03 00:00:00,2021-04-02 21:35:00
497350,T1,T1,LILYT1,LILYT1,2021-02-03 00:01:00,2021-02-03 00:01:00,2021-04-08 14:58:00
498336,HK_WL_651,HKWL651,HKWL65A,HKWL65A,2021-04-01 00:00:00,2021-04-01 00:00:00,2021-04-01 00:01:00
491600,T1,T1,WHMESAT1,WHMESAT1,2021-02-03 00:00:00,2021-02-03 00:00:00,2021-03-31 23:59:00
494202,T1,T1,CONIGLIOT1,CONIGLIOT1,2021-01-15 00:00:00,2021-01-15 00:00:00,2021-03-29 09:57:00
479363,TR1,TR1,PHOENIXTR1,PHOENIXTR1,2021-01-06 00:00:00,2021-01-06 00:00:00,2021-03-17 12:10:00
494153,T1,T1,ARAGORNT1,ARAGORNT1,2021-02-06 00:01:00,2021-02-06 00:01:00,2021-03-12 11:48:00
505445,T1PC,T1PC,HILONET1PC,HILONET1PC,2021-03-02 17:30:00,2021-03-02 17:30:00,2021-03-03 12:10:00
505445,T1PC,T1PC,HILONET1PC,HILONET1PC,2021-02-24 00:00:00,2021-02-24 00:00:00,2021-03-02 17:12:00
457178,1216T4211,1216T4211,216T4211,216T4211,2020-10-14 00:00:00,2020-10-14 00:00:00,2021-02-26 13:05:00
505118,647H,647H,DOWGEN647H,DOWGEN647H,2021-02-24 00:00:00,2021-02-24 00:00:00,2021-02-24 00:01:00
463393,T2,T2,TISOLART2,TISOLART2,2021-01-08 17:01:00,2021-01-08 17:01:00,2021-02-11 15:13:00
458245,895_A,895A,885A,885A,2020-10-21 00:00:00,2020-10-21 00:00:00,2021-02-05 17:17:00
458244,885_A,885A,890H,890H,2020-10-21 00:00:00,2020-10-21 00:00:00,2021-02-05 17:17:00
457204,1829T4651,1829T4651,829T4651,829T4651,2020-10-07 00:00:00,2020-10-07 00:00:00,2021-02-04 14:45:00
451164,T1,T1,MARYNEALT1,MARYNEALT1,2020-09-05 16:05:00,2020-09-05 16:05:00,2021-01-31 14:41:00
486259,MPT,MPT,REDBARNMPT,REDBARNMPT,2021-01-15 12:01:00,2021-01-15 12:01:00,2021-01-26 09:00:00
486259,MPT,MPT,REDBARNMPT,REDBARNMPT,2021-01-06 00:00:00,2021-01-06 00:00:00,2021-01-15 12:00:00
497350,T1,T1,LILYT1,LILYT1,2021-01-11 00:00:00,2021-01-11 00:00:00,2021-01-20 11:06:00
494202,T1,T1,CONIGLIOT1,CONIGLIOT1,2021-01-08 10:17:00,2021-01-08 10:17:00,2021-01-14 23:59:00
465131,M_69_F12,M69F12,M69F11,M69F11,2021-01-18 16:01:00,2021-01-18 16:01:00,2021-01-19 18:30:00
465131,M_69_F12,M69F12,M69F11,M69F11,2020-11-04 00:00:00,2020-11-04 00:00:00,2021-01-18 16:00:00
463393,T2,T2,TISOLART2,TISOLART2,2020-10-14 00:00:00,2020-10-14 00:00:00,2021-01-08 17:00:00
465278,ET2,ET2,MAVCRKEET2,MAVCRKEET2,2020-11-06 13:01:00,2020-11-06 13:01:00,2021-01-08 16:00:00
456189,T1,T1,RELOJT1,RELOJT1,2020-12-07 08:50:00,2020-12-07 08:50:00,2020-12-07 08:54:00
461164,T1,T1,WILDWINDT1,WILDWINDT1,2020-12-28 15:14:00,2020-12-28 15:14:00,2020-12-28 15:22:00
461164,T1,T1,WILDWINDT1,WILDWINDT1,2020-12-07 09:12:00,2020-12-07 09:12:00,2020-12-28 15:13:00
467378,ANSON1_TLINE1,ANSON1TLINE1,ANSONPHNTM1A1,ANSONPHNTM1A,2020-10-07 00:00:00,2020-10-07 00:00:00,2020-12-08 12:34:00
461739,T1,T1,ANSON1T1,ANSON1T1,2020-10-07 00:00:00,2020-10-07 00:00:00,2020-12-08 12:34:00
429042,AX2L,AX2L,RVRSWAX2L,RVRSWAX2LH,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-12-23 19:08:00
429041,AX2H,AX2H,RVRSWAX2H,RVRSWAX2HH,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-12-23 19:08:00
424103,6495_J,6495J,6402A,6402A,2020-02-12 00:00:00,2020-02-12 00:00:00,2020-12-22 18:00:00
437166,890_J,890J,885C,885C,2020-05-06 00:00:00,2020-05-06 00:00:00,2020-12-09 13:32:00
459962,T1,T1,SOLSTICET1,SOLSTICET1,2020-10-07 00:00:00,2020-10-07 00:00:00,2020-12-20 15:47:00
470279,1572T5721,1572T5721,572T5721,572T5721,2020-12-02 00:00:00,2020-12-02 00:00:00,2020-12-17 12:13:00
464196,T1,T1,JUNOT1,JUNOT1,2020-10-07 00:00:00,2020-10-07 00:00:00,2020-12-16 15:00:00
464197,T2,T2,JUNOT2,JUNOT2,2020-10-07 00:00:00,2020-10-07 00:00:00,2020-12-16 15:00:00
441582,AX2H,AX2H,SLKSWAX2H,SLKSWAX2HH,2020-06-03 00:00:00,2020-06-03 00:00:00,2020-12-16 18:11:00
441458,AX1H,AX1H,SLKSWAX1H,SLKSWAX1HH,2020-06-03 00:00:00,2020-06-03 00:00:00,2020-12-16 18:11:00
441471,AX1L,AX1L,SLKSWAX1L,SLKSWAX1LH,2020-06-03 00:00:00,2020-06-03 00:00:00,2020-12-16 18:11:00
441596,AX2L,AX2L,SLKSWAX2L,SLKSWAX2LH,2020-06-03 00:00:00,2020-06-03 00:00:00,2020-12-16 18:11:00
3316,PATN_RC_TALTY1,PATNRCTALTY1,RSHILRCTALTY1,RSHILRCTALTY1,2020-12-07 09:00:00,2020-12-07 09:00:00,2020-12-16 10:23:00
429039,AX1L,AX1L,RVRSWAX1L,RVRSWAX1LH,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-12-15 18:00:00
429038,AX1H,AX1H,RVRSWAX1H,RVRSWAX1HH,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-12-15 18:00:00
467788,6620_Z,6620Z,6620D,6620D,2020-12-02 00:00:00,2020-12-02 00:00:00,2020-12-15 15:00:00
444743,T2,T2,TRUENOT2,TRUENOT2,2020-06-03 00:00:00,2020-06-03 00:00:00,2020-12-14 14:52:00
444742,T1,T1,TRUENOT1,TRUENOT1,2020-06-03 00:00:00,2020-06-03 00:00:00,2020-12-14 14:52:00
459973,T2,T2,SOLSTICET2,SOLSTICET2,2020-10-09 00:01:00,2020-10-09 00:01:00,2020-12-12 14:04:00
456189,T1,T1,RELOJT1,RELOJT1,2020-11-03 19:01:00,2020-11-03 19:01:00,2020-12-07 08:49:00
490043,OBRT,OBRT,OLINGROBRT,OLINGROBRT,2020-12-02 00:00:00,2020-12-02 00:00:00,2020-12-02 00:01:00
468141,FMR1,FMR1,TYLSWFMR1,TYLSWAXFMR1H,2020-12-02 00:00:00,2020-12-02 00:00:00,2020-12-02 13:45:00
479363,TR1,TR1,PHOENIXTR1,PHOENIXTR1,2020-12-02 00:00:00,2020-12-02 00:00:00,2020-12-02 00:01:00
453247,AT1,AT1,DPWAT1,DPWAT1H,2020-09-16 00:00:00,2020-09-16 00:00:00,2020-11-23 08:57:00
453256,AT1H,AT1H,DPWAT1H,DPWAT1HH,2020-09-16 00:00:00,2020-09-16 00:00:00,2020-11-23 08:57:00
459075,T2,T2,VENADOT2,VENADOT2,2020-09-02 00:00:00,2020-09-02 00:00:00,2020-11-18 11:13:00
459074,T1,T1,VENADOT1,VENADOT1,2020-09-02 00:00:00,2020-09-02 00:00:00,2020-11-18 11:13:00
459076,T3,T3,VENADOT3,VENADOT3,2020-09-02 00:00:00,2020-09-02 00:00:00,2020-11-18 11:14:00
419025,TR33,TR33,FORMOSATR33,FORMOSATR33,2020-11-05 00:01:00,2020-11-05 00:01:00,2020-11-17 14:15:00
463392,T1,T1,TISOLART1,TISOLART1,2020-10-14 00:00:00,2020-10-14 00:00:00,2020-11-17 12:14:00
