teid,substation,star_bus,ckt,inferred_status,source,sibling_teids,sibling_statuses,flag
719129,SAPOWER,6485,1,Closed,inferred_transformer_winding,719059;718019,Closed;Closed,
279241,SARRD,24103,1,Closed,inferred_transformer_winding,279238;279237,Closed;Closed,
438356,SARRD,24131,2,Closed,inferred_transformer_winding,438355;438354,Closed;Closed,
828251,SBYSW,24169,1,Closed,inferred_transformer_winding,827149;776472,Closed;Closed,
279170,SC,49127,A1,Closed,inferred_transformer_winding,279165;279167,Closed;Closed,
124531,SCOSW,19750,1,Closed,inferred_transformer_winding,124653;124321,Closed;Closed,
124521,SCOSW,19751,2,Closed,inferred_transformer_winding,124631;124684,Closed;Closed,
279288,SGVSW,24105,2,Closed,inferred_transformer_winding,279290;279289,Closed;Closed,
279410,SHELBY,996,1,Closed,inferred_transformer_winding,279409;279318,Closed;Closed,
152815,SHRSW,24036,1,Closed,inferred_transformer_winding,148323;153621,Closed;Closed,
153990,SHRSW,24037,2,Closed,inferred_transformer_winding,153623;154845,Closed;Closed,
279612,SKYLINE,5365,2,Closed,inferred_transformer_winding,279614;279613,Closed;Closed,
280131,SKYLINE,5366,3,Closed,inferred_transformer_winding,280411;280200,Closed;Closed,
280433,SKYLINE,5367,4,Closed,inferred_transformer_winding,280448;280432,Closed;Closed,
441476,SLKSW,24133,1,Closed,inferred_transformer_winding,441471;441458,Closed;Closed,
441597,SLKSW,24134,2,Closed,inferred_transformer_winding,441596;441582,Closed;Closed,
280453,SNDSW,24107,2,Closed,inferred_transformer_winding,280444;280447,Closed;Closed,
279304,SNDSW,24106,3,Closed,inferred_transformer_winding,279305;279303,Closed;Closed,
279075,SSPSW,24108,1,Closed,inferred_transformer_winding,279077;279076,Closed;Closed,
614533,STEWART,80132,2,Closed,inferred_transformer_winding,614532;614531,Closed;Closed,
614536,STEWART,80143,3,Closed,inferred_transformer_winding,614534;614535,Closed;Closed,
368387,STNSW,24019,1,Closed,inferred_transformer_winding,368367;368366,Closed;Closed,
874775,STRATTON,8525,1,Closed,inferred_transformer_winding,874774;874773,Closed;Closed,
303992,TB,49176,A1,Closed,inferred_transformer_winding,303990;303989,Closed;Closed,
304179,TB,49167,A2,Closed,inferred_transformer_winding,304027;304031,Closed;Closed,
329839,TCOSW,24013,1,Closed,inferred_transformer_winding,329307;329182,Closed;Closed,
666947,TESSW,24147,1,Closed,inferred_transformer_winding,666946;666945,Closed;Closed,
665379,TESSW,24148,2,Closed,inferred_transformer_winding,665378;665377,Closed;Closed,
279762,THW,49179,A1,Closed,inferred_transformer_winding,279763;279622,Closed;Closed,
279942,THW,49180,A2,Closed,inferred_transformer_winding,280393;280187,Closed;Closed,
352497,THW,49181,A3,Closed,inferred_transformer_winding,352495;352496,Closed;Closed,
859555,TMPSW,24174,2,,,859553;859554,Open;Open,all_siblings_open
279061,TRSES,24112,1,Closed,inferred_transformer_winding,279057;279058,Closed;Closed,
28082,TRSES,24048,3,Closed,inferred_transformer_winding,28013;28048,Closed;Closed,
334202,TULECNYN,79525,2,Closed,inferred_transformer_winding,334189,Closed,
334203,TULECNYN,79525,2,Closed,inferred_transformer_winding,334189,Closed,
279551,TWINBU,77155,1,Closed,inferred_transformer_winding,279552;279550,Closed;Closed,
82151,TWINBU,77156,2,Closed,inferred_transformer_winding,76988;81018,Closed;Closed,
61234,TYGND,24114,1,Closed,inferred_transformer_winding,279071;280083,Closed;Closed,
593153,VALERO_E,89412,T1,Closed,inferred_transformer_winding,593151;593152,Closed;Closed,
61448,VENSW,24041,1,Closed,inferred_transformer_winding,61378;61498,Closed;Closed,
61787,VENSW,24042,2,Closed,inferred_transformer_winding,61835;61756,Closed;Closed,
279405,VENSW,24117,3,Closed,inferred_transformer_winding,279401;279402,Closed;Closed,
871627,VERN,80191,1,Closed,inferred_transformer_winding,871626;871625,Closed;Closed,
61266,VLSES,24040,1,Closed,inferred_transformer_winding,61328;61265,Closed;Closed,
828815,WCRSW,24167,1,,,828814;828813,Open;Open,all_siblings_open
828836,WCRSW,24168,2,,,828835;828834,Open;Open,all_siblings_open
443802,WINCHES,777308,1,Closed,inferred_transformer_winding,443800;443801,Closed;Closed,
443805,WINCHES,777309,2,Closed,inferred_transformer_winding,443804;443803,Closed;Closed,
429033,WLFSW,24127,1,Closed,inferred_transformer_winding,429032;429035,Closed;Closed,
429034,WLFSW,24128,2,Closed,inferred_transformer_winding,429036;429037,Closed;Closed,
307566,WLVSW,24046,3,Closed,inferred_transformer_winding,307551;307556,Closed;Closed,
279771,WO,49141,1,Closed,inferred_transformer_winding,279786;279785,Closed;Closed,
293004,WO,49144,A1,Closed,inferred_transformer_winding,292974;292332,Closed;Closed,
293180,WO,49143,A3,Closed,inferred_transformer_winding,293090;293143,Closed;Closed,
503637,WO,49199,A4,Closed,inferred_transformer_winding,503635;503636,Closed;Closed,
373935,WSMSW,24123,1,Closed,inferred_transformer_winding,373933;373934,Closed;Closed,
279040,WWEST,24119,1,Closed,inferred_transformer_winding,279037;279041,Closed;Closed,
280380,W_DENT,998,1,Closed,inferred_transformer_winding,280365;280085,Closed;Closed,
279459,W_DENT,997,2,Closed,inferred_transformer_winding,279457;279454,Closed;Closed,
320414,YUCSW,24008,3,Closed,inferred_transformer_winding,320410;320383,Closed;Closed,
94515,ZEN,49185,A1,Closed,inferred_transformer_winding,94510;94511,Closed;Closed,
326922,ZEN,49186,A2,Closed,inferred_transformer_winding,326920;326921,Closed;Closed,
344699,ZEN,49187,A3,Closed,inferred_transformer_winding,344698;344697,Closed;Closed,
