teid,ReasonID,BranchId,EquipmentName,equip_name_norm,cim_opeqname_norm,cim_branchname_norm,plannedStartDate,actualStartDate,actualEndDate
537561,4,,T1,T1,QUEENBAROAD,QUEENBAROAD,2021-12-01 00:00:00,2021-12-01 00:00:00,2022-02-14 17:00:00
432599,4,,432T4411,432T4411,723T7641,723T764,2021-04-22 08:00:00,2021-04-22 08:00:00,2021-12-30 10:30:00
533373,4,,CTL2,CTL2,MCCREECT2L,MCCREECT2L,2021-12-01 00:01:00,2021-12-01 00:01:00,2021-12-10 13:39:00
514075,4,,ELLENB_FTSW11,ELLENBFTSW11,FTSWGOMEZT11,FTSWGOMEZT1,2021-06-09 00:00:00,2021-06-09 00:00:00,2021-12-01 16:00:00
508684,4,,NAT1,NAT1,GYPGYP1,GYPGYP12,2021-06-08 00:00:00,2021-06-08 00:00:00,2021-09-28 10:36:00
498194,4,,ENCPHR911,ENCPHR911,ENCPHR91A,ENCPHR91A,2021-04-21 00:00:00,2021-04-21 00:00:00,2021-05-12 11:16:00
498193,4,,ED_ENC911,EDENC911,EDENC91A,EDENC91A,2021-04-21 00:00:00,2021-04-21 00:00:00,2021-05-12 11:16:00
445748,4,,6132_B,6132B,6129B,6129B,2020-08-05 00:00:00,2020-08-05 00:00:00,2021-05-05 17:05:00
432599,4,,432T4411,432T4411,723T7641,723T764,2020-11-02 08:36:00,2020-11-02 08:36:00,2021-04-21 10:30:00
498336,4,,HK_WL_651,HKWL651,HKWL65A,HKWL65A,2021-04-01 00:00:00,2021-04-01 00:00:00,2021-04-01 00:01:00
458244,4,,885_A,885A,890H,890H,2020-10-21 00:00:00,2020-10-21 00:00:00,2021-02-05 17:17:00
458245,4,,895_A,895A,885A,885A,2020-10-21 00:00:00,2020-10-21 00:00:00,2021-02-05 17:17:00
424103,4,,6495_J,6495J,6402A,6402A,2020-12-22 21:34:00,2020-12-22 21:34:00,2021-01-21 13:34:00
465131,4,,M_69_F12,M69F12,M69F11,M69F11,2021-01-18 16:01:00,2021-01-18 16:01:00,2021-01-19 18:30:00
465131,4,,M_69_F12,M69F12,M69F11,M69F11,2020-11-04 00:00:00,2020-11-04 00:00:00,2021-01-18 16:00:00
467378,4,,ANSON1_TLINE1,ANSON1TLINE1,ANSONPHNTM1A1,ANSONPHNTM1A,2020-10-07 00:00:00,2020-10-07 00:00:00,2020-12-08 12:34:00
424103,4,,6495_J,6495J,6402A,6402A,2020-02-12 00:00:00,2020-02-12 00:00:00,2020-12-22 18:00:00
437166,4,,890_J,890J,885C,885C,2020-05-06 00:00:00,2020-05-06 00:00:00,2020-12-09 13:32:00
3316,4,,PATN_RC_TALTY1,PATNRCTALTY1,RSHILRCTALTY1,RSHILRCTALTY1,2020-12-07 09:00:00,2020-12-07 09:00:00,2020-12-16 10:23:00
467788,4,,6620_Z,6620Z,6620D,6620D,2020-12-02 00:00:00,2020-12-02 00:00:00,2020-12-15 15:00:00
432599,4,,432T4411,432T4411,723T7641,723T764,2020-04-21 10:43:00,2020-04-21 10:43:00,2020-10-31 00:00:00
453514,4,,NEVILLTP_GRSWD1,NEVILLTPGRSWD1,GIRVINGRSWD1,GIRVINGRSWD,2020-08-05 00:01:00,2020-08-05 00:01:00,2020-09-23 11:24:00
426680,4,,NEVILL_NEVILTP1,NEVILLNEVILTP1,GIRVINNEVIL1,GIRVINNEVIL,2020-06-03 00:01:00,2020-06-03 00:01:00,2020-09-23 11:24:00
442273,4,,SKYLINEAUTO1,SKYLINEAUTO1,SKYLINEMR1,SKYLINEMR1H,2020-06-17 00:00:00,2020-06-17 00:00:00,2020-06-30 12:52:00
441993,4,,AUTO-1102-2,AUTO11022,WLD138LDXF,WLD138LDXF,2020-05-06 00:00:00,2020-05-06 00:00:00,
432758,4,,451T4511,451T4511,451T7191,451T7191,2020-03-04 16:00:00,2020-03-04 16:00:00,2020-04-15 12:13:00
422922,4,,6535_F,6535F,6530B,6530B,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:01:00
432599,4,,432T4411,432T4411,723T7641,723T764,2020-02-28 10:17:00,2020-02-28 10:17:00,2020-02-28 11:23:00
432599,4,,432T4411,432T4411,723T7641,723T764,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-28 10:15:00
347844,4,,SU_XF_VEALMOOR34507TR1_ST,SUXFVEALMOOR34507TR1ST,VEALMOOR7TR1,VEALMOORVLMTR1H,2019-12-19 15:01:00,2019-12-19 15:01:00,2020-02-21 18:30:00
347844,4,,SU_XF_VEALMOOR34507TR1_ST,SUXFVEALMOOR34507TR1ST,VEALMOOR7TR1,VEALMOORVLMTR1H,2019-05-15 12:01:00,2019-05-15 12:01:00,2019-12-19 15:00:00
405328,4,,6149_F,6149F,6245A,6245A,2019-08-14 00:00:00,2019-08-14 00:00:00,2019-12-12 18:00:00
412584,4,,KINGTAP_QUEEN1,KINGTAPQUEEN1,KINGSWQUEEN1,KINGSWQUEEN1,2019-09-05 00:01:00,2019-09-05 00:01:00,2019-11-26 11:30:00
404343,4,,1520_H,1520H,1525A,1525A,2019-08-07 00:00:00,2019-08-07 00:00:00,2019-11-26 11:42:00
413808,4,,6142_H,6142H,5142B,5142B,2019-11-06 00:00:00,2019-11-06 00:00:00,2019-11-06 00:01:00
373506,4,,138_BLT_FAL1,138BLTFAL1,138BLTFLK1,138BLTFLK1,2018-12-05 00:00:00,2018-12-05 00:00:00,2019-10-03 14:25:00
399344,4,,IHS2 STATCOMM TRF,IHS2STATCOMMTRF,IH20IHS2,IH20IHS2HISIDE,2019-08-06 11:44:00,2019-08-06 11:44:00,2019-08-23 16:04:00
