teid,branch_id,n_snapshots,n_status_rows,n_closed,n_open,pct_closed,default_status_majority,review_flag
321,60004087,20,20,20,0,1.0,Closed,clear_majority
322,60003615,20,20,20,0,1.0,Closed,clear_majority
323,60003668,20,20,20,0,1.0,Closed,clear_majority
328,60002908,20,20,20,0,1.0,Closed,clear_majority
329,60004469,20,20,20,0,1.0,Closed,clear_majority
331,60005770,20,20,20,0,1.0,Closed,clear_majority
334,60007143,20,20,20,0,1.0,Closed,clear_majority
335,60002600,20,20,20,0,1.0,Closed,clear_majority
338,60000837,20,20,20,0,1.0,Closed,clear_majority
339,60000838,20,20,20,0,1.0,Closed,clear_majority
340,60000839,20,20,20,0,1.0,Closed,clear_majority
341,60000847,20,20,20,0,1.0,Closed,clear_majority
342,60000848,20,20,20,0,1.0,Closed,clear_majority
343,60000849,20,20,20,0,1.0,Closed,clear_majority
344,60001709,20,20,20,0,1.0,Closed,clear_majority
347,60002201,20,20,20,0,1.0,Closed,clear_majority
348,60002203,3,3,3,0,1.0,Closed,clear_majority
349,60003597,20,20,20,0,1.0,Closed,clear_majority
350,60005749,20,20,20,0,1.0,Closed,clear_majority
351,60002220,20,20,20,0,1.0,Closed,clear_majority
352,60002221,20,20,20,0,1.0,Closed,clear_majority
353,60002198,20,20,20,0,1.0,Closed,clear_majority
354,60002222,20,20,20,0,1.0,Closed,clear_majority
355,60002207,20,20,20,0,1.0,Closed,clear_majority
357,60002212,20,20,20,0,1.0,Closed,clear_majority
358,60002213,20,20,20,0,1.0,Closed,clear_majority
361,60011482,20,20,20,0,1.0,Closed,clear_majority
362,60011187,20,20,20,0,1.0,Closed,clear_majority
363,60000719,20,20,20,0,1.0,Closed,clear_majority
364,60001287,20,20,20,0,1.0,Closed,clear_majority
365,60006671,20,20,20,0,1.0,Closed,clear_majority
366,60002371,20,20,20,0,1.0,Closed,clear_majority
367,60002760,19,19,19,0,1.0,Closed,clear_majority
369,60002675,20,20,20,0,1.0,Closed,clear_majority
370,60000804,20,20,20,0,1.0,Closed,clear_majority
371,60005825,20,20,20,0,1.0,Closed,clear_majority
373,60001072,19,19,19,0,1.0,Closed,clear_majority
374,60001153,20,20,20,0,1.0,Closed,clear_majority
375,60098208,14,14,14,0,1.0,Closed,clear_majority
376,60005049,20,20,20,0,1.0,Closed,clear_majority
381,60003027,20,20,20,0,1.0,Closed,clear_majority
387,60004209,20,20,20,0,1.0,Closed,clear_majority
