teid,RdfId,PsseType,NodeType,CircuitIdentifier,Name,BusNumber1,BusName1,Substation1,BusNumber2,BusName2,Substation2,EquipmentName,OpEqName,branch_id,branch_name,b1,b2,ckt,DeviceType,FromName,ToName,OP_EQCODE,EQNAME,match_status,opeq_agrees,fuzzy_ratio,is_high_side
748012,b4857647-8297-4abc-bcba-47aefd939b5d,Branch,ACLineSegment,1,927_A _A 1 138kV,3454,MONTFTSS__8,MTFSW,3723,OLYMPSW_8,OLYSW,_A,927__A,60098233.0,927,,,1,Line,MONTFTSS__8,OLYMPSW_8,927__A,_A,matched,True,0.0,False
3666,b48cb883-0005-41e1-a67c-bea6733321a1,Branch,ACLineSegment,1,321T667_1 1 1 138kV,7297,L_ROTOTA8_1Y,RTOPTA,7298,L_ROUNTO8_2Y,ROUNTO,1,321T667_1,60009689.0,321T6671,,,1,Line,L_ROTOTA8_1Y,L_ROUNTO8_2Y,321T667_1,1,duplicate_resolved_by_opeqcode,True,0.0,False
647596,b4925c48-92b7-4abe-8d0f-f1ea609f95b0,Branch,ACLineSegment,1,BELKNA_LARAM1_1 1 1 69kV,60000,LARAMIE2A,LARAMIE,60409,BELKNAP2A,BELKNAP,1,BELKNA_LARAM1_1,60090577.0,BELKNA_LARAM1,,,1,Line,LARAMIE2A,BELKNAP2A,BELKNA_LARAM1_1,1,matched,True,0.0,False
2412,b49a3dbd-e166-49d3-959e-221785e3a15c,Branch,ACLineSegment,1,CKT_910_1 1 1 138kV,9187,DECK_MB1,DECKER,9196,ED_BLUE,ED_BLUES,1,CKT_910_1,60003887.0,CKT_9101,,,1,Line,ED_BLUE,DECK_MB1,CKT_910_1,1,matched,True,0.0,False
496574,b4a696fd-5897-4569-8917-5461e5d57cbd,Branch,ACLineSegment,1,138_ANG_GES_1 1 1 138kV,39560,TNANGLETON1,ANGLETON,111982,GAMBIT_8,GAMBIT,1,138_ANG_GES_1,60011614.0,138_ANG_GES1,,,1,Line,GAMBIT_8,TNANGLETON1,138_ANG_GES_1,1,matched,True,0.0,False
2661,b4ae3500-4096-4188-a42c-9229ab7e7093,Branch,ACLineSegment,1,1175__B _B 1 138kV,3317,HUNTINGTP_8,HTYTP,3320,HUNTNGTN_8,HNTNG,_B,1175__B,60000168.0,1175_B,,,1,Line,HUNTINGTP_8,HUNTNGTN_8,1175__B,_B,matched,True,0.0,False
274736,b4b1ac01-71ae-4821-b4ce-bf87b80dc544,Branch,ACLineSegment,1,CLAYT_SCOSW_1_1 1 1 345kV,11318,SCURCNTYS_5,SCOSW,68001,CLAYTON_345,CLAYTNVL,1,CLAYT_SCOSW_1_1,60008455.0,CLAYT_SCOSW_11,,,1,Line,SCURCNTYS_5,CLAYTON_345,CLAYT_SCOSW_1_1,1,matched,True,0.0,False
869102,b4b9e484-b5b0-49f5-a947-f49c4bf92a1a,Branch,ACLineSegment,1,1250_O _O 1 138kV,3823,TIMBERLINE_8,TIMBR,3271,PALSTNS_8,PLSTH,_O,1250__O,60112859.0,1250_O,,,1,Line,PALSTNS_8,TIMBERLINE_8,1250__O,_O,matched,True,0.0,False
384773,b4bef394-48a8-4350-beba-51b459a4fa41,Branch,ACLineSegment,1,9005_D _D 1 138kV,520,ALEDOSW,ALEDOSW,1579,ALEDO1_8,ALDTU,_D,9005__D,60009423.0,9005_D,,,1,Line,ALEDOSW,ALEDO1_8,9005__D,_D,matched,True,0.0,False
556,b4c8b531-6ca2-4cc8-bf2a-da95ab6fdc6e,Branch,ACLineSegment,1,OKLA_VERN1_1 1 1 138kV,6060,VERN4A,VERN,6097,OKLA4A,OKLA,1,OKLA_VERN1_1,60006513.0,OKLA_VERN11,,,1,Line,VERN4A,OKLA4A,OKLA_VERN1_1,1,matched,True,0.0,False
3727,b4cef68f-bee2-401c-8331-bdc89fd937c3,Branch,ACLineSegment,1,H3_M4BTP_1 1 1 138kV,5200,HELOTES,H3,5462,UTSA_BTP,M4,1,H3_M4BTP_1,60005181.0,H3_M4BTP1,,,1,Line,HELOTES,UTSA_BTP,H3_M4BTP_1,1,matched,True,0.0,False
