isomarketid,branchID,branchName,ptoIDSource,InsertDate,b1,b2,b3,ckt,OP_EQCODE,LNNAME,EQNAME,DeviceType,FromName,ToName,b3Text,branchStationID,branchDeviceTypeId,teid,collapseId,legacyBranchId,ptoBranchID,fromNum,toNum,pto_ckt,pto_deviceType,identity_key,has_pto_match,dup_type
6,60040625,JAYBIRD_3246_138,,2023-11-21 12:26:39.067,,,,,JAYBIRD_3246_138,,3246,disconnector,JAYBIRD,,JAYBIRD,,,281757.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60084984,NEDIN_OLD_XC21,,2024-01-25 09:01:19.767,,,,33,NEDIN_OLD_XC2_1,NEDIN_OLD_XC2,1,Line,,,,,,281757.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60048615,MCCAMPBE_2311_138,,2023-11-21 12:26:39.067,,,,,MCCAMPBE_2311_138,,2311,disconnector,MCCAMPB4A,,MCCAMPBE,,,281775.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60088698,WLVEE_SD11,,2024-01-25 09:01:19.767,,,,1,WLVEE_SD1_1,WLVEE_SD1,1,Line,,,,,,281775.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60003171,BA_TAP67,3.0,2015-02-26 12:36:00.000,,,,67,BA_TAP67_1,BA_TAP67,1,Line,BAMMEL__138A,VET_JES_67,,,,281779.0,,,60003173.0,45651.0,45921.0,67,Line,45651|45921|67,True,insufficient_pto_data
6,60040623,JAYBIRD_3244_138,,2023-11-21 12:26:39.067,,,,,JAYBIRD_3244_138,,3244,disconnector,JAYBIRD,,JAYBIRD,,,281779.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60003172,BA_TAP81,3.0,2015-02-26 12:36:00.000,,,,81,BA_TAP81_1,BA_TAP81,1,Line,BAMMEL__138A,VET_JES_81,,,,281785.0,,,60003174.0,45651.0,45922.0,81,Line,45651|45922|81,True,teid_collision_different_branches
6,60008202,JESJES811,19.0,2016-04-01 16:58:00.000,,,,81,JESJES81_1,JESJES81,1,Line,JESTER81TP_8,VETRAN81TP_8,,,1.0,281785.0,,,63906067.0,48180.0,48391.0,81,Line,48180|48391|81,True,teid_collision_different_branches
6,60003518,BSTTAP02,3.0,2015-02-26 12:36:00.000,,,,SR,BSTTAP02_1,BSTTAP02,1,Line,BOOSTR__8010,BOOSTR_RAD02,,,,281790.0,,,63701985.0,42195.0,48039.0,SR,Line,42195|48039|SR,True,teid_collision_different_branches
6,60011631,BSTTAP361,327.0,2021-09-30 15:37:00.000,,,,36,BSTTAP36_1,BSTTAP36,1,Line,BOOSTR_X36T8,BOOSTR36TP_8,,,1.0,281790.0,,,63905148.0,42195.0,48039.0,36,Line,42195|48039|36,True,teid_collision_different_branches
6,60048616,MCCAMPBE_2814_138,,2023-11-21 12:26:39.067,,,,,MCCAMPBE_2814_138,,2814,disconnector,MCCAMPB4A,,MCCAMPBE,,,281874.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60087489,SPS_ZBR_151,,2024-01-25 09:01:19.767,,,,S3,SPS_ZBR_15_1,SPS_ZBR_15,1,Line,,,,,,281874.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60048618,MCCAMPBE_2816_138,,2023-11-21 12:26:39.067,,,,,MCCAMPBE_2816_138,,2816,disconnector,MCCAMPB4A,,MCCAMPBE,,,281902.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60087484,SPS_111,,2024-01-25 09:01:19.767,,,,2,SPS_11_1,SPS_11,1,Line,,,,,,281902.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60059779,REDCREEK_CAP1_138,,2023-11-21 12:26:39.067,,,,,REDCREEK_CAP1_138,,CAP1,shunt,REDCREEK4A,,REDCREEK,,,281933.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60087135,SARC_CAP1_138,,2024-01-25 09:01:19.767,,,,,SARC_CAP1_138,,CAP1,shunt,SARC4A,,SARC,,,281933.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60036950,HAMILTON_CAPBNK3_138,,2023-11-21 12:26:39.067,,,,,HAMILTON_CAPBNK3_138,,CAPBNK3,shunt,HAMILTON4B,,HAMILTON,,,281939.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60082766,HAMILTON_C5_138,,2024-01-25 09:01:19.767,,,,,HAMILTON_C5_138,,C5,shunt,HAMIL_P4,,HAMILTON,,,281939.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60059780,REDCREEK_CAP2_138,,2023-11-21 12:26:39.067,,,,,REDCREEK_CAP2_138,,CAP2,shunt,REDCREEK4A,,REDCREEK,,,281946.0,,,,,,,,-1|-1|,False,insufficient_pto_data
6,60087136,SARC_CAP2_138,,2024-01-25 09:01:19.767,,,,,SARC_CAP2_138,,CAP2,shunt,SARC4A,,SARC,,,281946.0,,,,,,,,-1|-1|,False,insufficient_pto_data
