inr,mode,tool,fp,runlen
25INR0225,triage,WebFetch,comptroller.texas.gov/economy/local,5
25INR0102,triage,WebFetch,html.duckduckgo.com/html,5
25INR0102,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
25INR0102,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
25INR0102,deep,WebFetch,search.yahoo.com/search,5
25INR0102,deep,WebFetch,html.duckduckgo.com/html,5
25INR0557,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
25INR0556,triage,WebFetch,www.bing.com/search,5
25INR0530,triage,WebFetch,comptroller.texas.gov/economy/local,5
25INR0528,triage,Bash,gmaps.py:places,5
25INR0451,deep,Bash,python3,5
25INR0421,deep,Bash,cdse.py:chip,5
25INR0101,deep,Bash,uv,5
25INR0081,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
25INR0071,triage,Bash,cat,5
24INR0287,deep,Bash,uv,5
24INR0282,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
24INR0282,deep,WebFetch,www.bing.com/search,5
24INR0410,triage,WebFetch,comptroller.texas.gov/economy/local,5
24INR0387,triage,WebFetch,www.bing.com/search,5
24INR0104,triage,WebFetch,comptroller.texas.gov/economy/local,5
24INR0339,deep,WebFetch,www.bing.com/search,5
24INR0339,deep,WebFetch,comptroller.texas.gov/economy/local,5
24INR0339,deep,WebFetch,www.bing.com/search,5
24INR0302,triage,WebFetch,www.bing.com/search,5
26INR0156,deep,WebFetch,www.ercot.com/files/docs,5
25INR0616,triage,WebFetch,comptroller.texas.gov/economy/local,5
25INR0591,deep,WebFetch,comptroller.texas.gov/economy/development,5
25INR0591,deep,WebFetch,comptroller.texas.gov/economy/local,5
23INR0401,triage,Bash,gmaps.py:places,5
23INR0359,triage,WebFetch,comptroller.texas.gov/economy/local,5
24INR0282,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
24INR0281,deep,Bash,uv,5
24INR0235,triage,WebFetch,comptroller.texas.gov/economy/local,5
24INR0198,deep,WebFetch,comptroller.texas.gov/economy/local,5
24INR0126,triage,WebFetch,comptroller.texas.gov/economy/local,5
25INR0578,triage,WebFetch,comptroller.texas.gov/economy/local,5
25INR0557,deep,Bash,curl:maps.googleapis.com,5
25INR0557,deep,WebFetch,www.ercot.com/files/docs,5
26INR0269,triage,WebFetch,www.bing.com/search,5
26INR0269,deep,Bash,uv,5
26INR0269,deep,WebFetch,html.duckduckgo.com/html,5
26INR0261,deep,TaskCreate,TaskCreate,5
26INR0241,triage,WebFetch,comptroller.texas.gov/economy/local,5
26INR0226,triage,Bash,ls,5
26INR0226,deep,Bash,curl:interchange.puc.texas.gov,5
26INR0222,triage,WebFetch,comptroller.texas.gov/economy/local,5
26INR0201,deep,WebFetch,www.ercot.com/files/docs,5
26INR0394,triage,WebFetch,nominatim.openstreetmap.org/search,5
26INR0375,deep,WebFetch,html.duckduckgo.com/html,5
26INR0375,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
26INR0370,triage,WebFetch,comptroller.texas.gov/economy/local,5
23INR0235,triage,WebFetch,comptroller.texas.gov/economy/local,5
23INR0232,triage,Bash,cdse.py:chips,5
23INR0222,triage,WebFetch,comptroller.texas.gov/economy/local,5
24INR0058,deep,WebFetch,www.ercot.com/gridinfo/planning,5
23INR0637,deep,Bash,uv,5
23INR0501,deep,Bash,,5
23INR0501,deep,WebFetch,www.bing.com/search,5
23INR0501,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
23INR0501,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
23INR0466,triage,WebFetch,comptroller.texas.gov/economy/local,5
23INR0421,triage,WebFetch,nominatim.openstreetmap.org/search,5
23INR0059,triage,WebFetch,comptroller.texas.gov/economy/local,5
23INR0056,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
23INR0056,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
23INR0342,triage,Bash,curl:interchange.puc.texas.gov,5
23INR0308,triage,WebFetch,comptroller.texas.gov/economy/local,5
23INR0290,deep,Bash,curl:www.sec.gov,5
23INR0290,deep,WebFetch,nominatim.openstreetmap.org/search,5
23INR0244,deep,Bash,uv,5
26INR0611,triage,Bash,curl:interchange.puc.texas.gov,5
26INR0589,triage,WebFetch,interchange.puc.texas.gov/Apps/Interchange,5
26INR0551,triage,WebFetch,comptroller.texas.gov/economy/local,5
26INR0520,triage,Bash,ls,5
26INR0519,deep,WebFetch,www2.tceq.texas.gov/airperm/index.cfm,5
22INR0499,deep,WebFetch,data.texas.gov/resource/9cir-efmm.json,5
23INR0222,triage,Bash,gmaps.py:places,5
23INR0205,triage,WebFetch,comptroller.texas.gov/economy/local,5
23INR0171,deep,WebFetch,comptroller.texas.gov/economy/local,5
23INR0163,triage,WebFetch,comptroller.texas.gov/economy/local,5
23INR0140,deep,Bash,ls,5
23INR0070,deep,Bash,curl:interchange.puc.texas.gov,5
26INR0453,triage,WebFetch,www.bing.com/search,5
26INR0417,deep,Bash,uv,5
26INR0394,triage,Bash,curl:services1.arcgis.com,5
27INR0005,triage,WebFetch,html.duckduckgo.com/html,5
26INR0702,triage,Bash,curl:interchange.puc.texas.gov,5
26INR0664,deep,Bash,curl:interchange.puc.texas.gov,5
26INR0664,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
26INR0636,deep,Bash,uv,5
26INR0636,deep,Bash,curl:efts.sec.gov,5
26INR0636,deep,Bash,uv,5
22INR0205,deep,WebFetch,www.bing.com/search,5
22INR0203,deep,WebFetch,investor.wecenergygroup.com/investors/news-releases,5
22INR0203,deep,WebFetch,investor.wecenergygroup.com/investors/news-releases,5
23INR0047,deep,WebFetch,comptroller.texas.gov/economy/local,5
23INR0029,deep,TaskCreate,TaskCreate,5
23INR0006,triage,Bash,uv,5
22INR0558,triage,Bash,uv,5
26INR0633,triage,WebFetch,comptroller.texas.gov/economy/local,5
26INR0625,deep,Bash,python3,5
26INR0621,deep,Bash,uv,5
27INR0146,deep,Bash,cdse.py:chip,5
27INR0132,deep,Bash,curl:overpass-api.de,5
27INR0095,triage,Bash,gmaps.py:places,5
27INR0085,deep,Bash,curl:grimescad.org,5
21INR0263,deep,Bash,curl:oeaaa.faa.gov,5
21INR0263,deep,WebFetch,www.federalregister.gov/api/v1,5
21INR0223,deep,Bash,curl:overpass-api.de,5
22INR0499,deep,WebFetch,www.bing.com/search,5
22INR0455,triage,WebFetch,comptroller.texas.gov/economy/local,5
22INR0301,deep,Bash,uv,5
22INR0262,deep,Bash,uv,5
22INR0205,triage,WebFetch,comptroller.texas.gov/economy/local,5
27INR0063,triage,WebFetch,comptroller.texas.gov/economy/local,5
27INR0056,triage,WebFetch,comptroller.texas.gov/economy/local,5
27INR0011,triage,Bash,curl:interchange.puc.texas.gov,5
27INR0355,triage,WebFetch,comptroller.texas.gov/economy/local,5
27INR0355,deep,Bash,curl:edits.nationalmap.gov,5
27INR0355,deep,Bash,uv,5
27INR0355,deep,WebFetch,www.rwe.com/en/press,5
27INR0321,triage,WebFetch,html.duckduckgo.com/html,5
27INR0298,triage,WebFetch,comptroller.texas.gov/economy/local,5
27INR0274,triage,WebFetch,comptroller.texas.gov/economy/local,5
27INR0217,triage,WebFetch,comptroller.texas.gov/economy/local,5
20INR0083,deep,Bash,curl:www.sec.gov,5
20INR0083,deep,Bash,curl:www.sec.gov,5
20INR0083,deep,Bash,curl:efts.sec.gov,5
20INR0083,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
21INR0428,deep,Bash,uv,5
21INR0421,triage,WebFetch,comptroller.texas.gov/economy/local,5
21INR0406,deep,WebFetch,www.bing.com/search,5
21INR0406,deep,Bash,python3,5
27INR0186,triage,WebFetch,comptroller.texas.gov/economy/local,5
20INR0069,deep,Bash,curl:comptroller.texas.gov,5
27INR0519,triage,WebFetch,comptroller.texas.gov/economy/local,5
27INR0501,triage,WebFetch,comptroller.texas.gov/economy/local,5
27INR0501,deep,WebFetch,efts.sec.gov/LATEST/search-index,5
27INR0500,triage,WebFetch,comptroller.texas.gov/economy/local,5
27INR0489,triage,WebFetch,www.ercot.com/services/rq,5
27INR0440,triage,WebFetch,www.bing.com/search,5
27INR0572,triage,WebFetch,www.bing.com/search,5
27INR0557,deep,WebFetch,www.bing.com/search,5
18INR0031,triage,WebFetch,comptroller.texas.gov/economy/local,5
16INR0085,deep,WebFetch,comptroller.texas.gov/economy/development,5
16INR0085,deep,Bash,uv,5
